position,title
Q65089203,First Lady
Q113989765,Deputy Minister of Administrative Development
Q113989577,Deputy Minister of Foreign Affairs
Q113989761,Deputy Minister of Tourism
Q111903398,Head of General Intelligence
Q111201637,Head of the National Security Bureau
Q113989738,Governor of Rif Dimashq Governorate
Q102245065,ambassador to Austria
Q113989570,ambassador to Italy
Q100336464,ambassador to Kuwait
Q100333029,ambassador to Lebanon
Q113989535,ambassador to North Korea
Q1861669,ambassador to the People's Republic of China
Q30504464,ambassador to the Russian Federation
Q96924023,ambassador to the United Kingdom
Q1861672,ambassador to the United States of America
Q102309536,Permanent Representative to OPCW
Q7169247,Permanent Representative to the United Nations
Q29971465,ambassador
