item,itemLabel,startDate,endDate,sourceDate,psid
Q113989512,Khalid al-Mahayni,1987,2001,2022-09-15,Q113989512-D59A23F9-3400-4D8B-B0CC-0062BBA3A964
Q6892558,Mohammad al-Atrash,2001-12-13,2003-09-10,,Q6892558-878E75EC-EC1B-40F7-A72F-B2D12AD98E38
Q6892556,Mohammad al-Hussein,2003-09-18,2011-04-14,,Q6892556-22324C13-0C36-4D1E-8FDB-05ADB7B11CF0
Q6892565,Mohammad al Jililati,2011-04-14,2013-02-09,,Q6892565-6E3E7970-AB3E-41ED-933C-5C74020E49FC
Q113989511,Ismael Ismael,2014,2016,2022-09-15,Q113989511-C4BCBA4C-2326-47DE-9904-D2716983819B
Q113989513,Maamoun Hamdan,2016,2020,2022-09-15,Q113989513-6FCBADA4-4F1E-49FE-8BD8-B269DE7028A5
Q98807064,Kenan Yaghi,2020-08-30,,,Q98807064-E7177C49-84FA-42EA-B2B9-493BBFE2854F
