item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q110093859,Iyad Mohammad al-Khatib,Q113989711,Communications and Technology Minister,2018-11-26,,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q110093859-0E08D55A-54EC-4E85-89A2-10E6F3F533F3
Q110158344,Suhail Mohammad Abdullatif,Q113989733,Public Works and Housing Minister,2018-11-26,,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q110158344-0DB3B87C-A094-4EF9-A5B5-5FC20F665149
Q110176262,Mohammad Fayez al-Barasha,Q113989777,State Minister,2020-08-30,,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q110176262-1B8B3CE0-6ABF-4AFC-AA3B-9EA2CA3FADF2
Q112056330,Mohammad Samir Haddad,Q113989782,State Minister,2020-08-30,2021-08-10,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q112056330-d0fd67f7-4cf5-bc98-04cf-31f6cfa1e54d
Q112056331,Maloul al-Hussein,Q113989778,State Minister,2020-08-30,2021-08-10,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q112056331-d804cb63-463f-5203-9628-dcc25bda1030
Q1334803,Walid Muallem,Q102025289,Minister of Foreign Affairs and Expatriates,2006-02-21,2020-11-16,,Q1334803-725e79b2-442f-68a8-5490-194ecd48b68d
Q1334803,Walid Muallem,Q105821094,Deputy Prime Minister of Syria,2012-06-23,2020-11-16,,Q1334803-F4A2A98D-1467-462F-A2EF-AC533756852B
Q18217778,Lubanah Mshaweh,Q94578307,Minister of Culture,2020-08-30,,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q18217778-8AD20491-201C-4392-BFB0-0BF919280C2A
Q4724546,Ali Abdullah Ayyoub,Q105821094,Deputy Prime Minister,2020-08-30,,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q4724546-39EBAFC0-8E45-446D-A341-CB5A73F1CC70
Q4724546,Ali Abdullah Ayyoub,Q113989336,Minister of Defense,2018-01-01,2022-04-28,,Q4724546-CCB80C2C-3FBD-4C9F-BF4C-2CDE0AC96B66
Q5431067,Faisal Mekdad,Q113989577,Deputy Minister of Foreign Affairs of Syria,2006-08-01,2020-11-22,,Q5431067-1EF94EA6-B58B-4F87-BF44-E6428C347854
Q5431067,Faisal Mekdad,Q102025289,Foreign Affairs and Expatriates Minister,2020-11-22,,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q5431067-e6f97436-4fa5-567d-76ce-e5535270cfb2
Q60455401,Hussein Arnous,Q7243302,Prime Minister of Syria,2020-06-11,,,Q60455401-511F16D8-B88F-4DFE-8681-212534764C96
Q60455444,Hussein Makhlouf,Q113989736,Local Administration Minister,2016-06-22,,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q60455444-0E1F0539-744E-41D5-8D92-AA08591222CD
Q60564584,Imad Abullah Sarah,Q113989741,Information Minister,2018-01-01,2021-08-10,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q60564584-149b7a4b-4d55-4716-dcb8-eaf2d7d326db
Q60572925,Mohammad Samer al-Khalil,Q113989706,Economy and Foreign Trade Minister,2017-03-29,,https://en.wikipedia.org/wiki/First_Hussein_Arnous_government,Q60572925-1686D6F0-B46F-4E15-B7EA-718361B26462
