item,itemLabel,position,positionLabel,startDate,endDate
Q60455401,Hussein Arnous,,Prime Minister of Syria,,
Q4724546,Ali Abdullah Ayyoub,,Deputy Prime Minister,,
Q4724546,Ali Abdullah Ayyoub,,Minister of Defense,,
Q5431067,Faisal Mekdad,,Foreign Affairs and Expatriates Minister,,
Q85874875,Mohammad Khaled al-Rahmoun,,Interior Minister,,
Q98798381,Ahmad al-Sayyed,,Justice Minister,,
Q98807064,Kenan Yaghi,,Finance Minister,,
Q60572925,Mohammad Samer al-Khalil,,Economy and Foreign Trade Minister,,
Q98798406,Talal Al-Barazi,,Internal Trade and Consumer Protection Minister,,
Q98798540,Ziyad Sabbagh,,Industry Minister,,
Q98798467,Zouhair Khazim,,Transport Minister,,
Q98798395,Tammam Raad,,Water Resources Minister,,
Q98798481,Bassam Tohme,,Minister of Oil and Mineral Reserves,,
Q98798533,Ghassan al-Zamel,,Electricity Minister,,
Q110093859,Iyad Mohammad al-Khatib,,Communications and Technology Minister,,
Q98798445,Salwa Abdullah,,Minister of Social Affairs and Labor,,
Q110158344,Suhail Mohammad Abdullatif,,Public Works and Housing Minister,,
Q98798493,Mohammed Hassan Qatana,,Agriculture and Agrarian Reform Minister,,
Q60455444,Hussein Makhlouf,,Local Administration Minister,,
Q60564584,Imad Abullah Sarah,,Information Minister,,
Q6892847,Mohammad Abdul-Sattar al-Sayyed,,Awqaf (Religious Endowments) Minister,,
Q98798488,Hassan al-Ghabbash,,Health Minister,,
Q98796946,Darem Tabbaa,,Education Minister,,
Q98798423,Bassam Bashir Ibrahim,,Higher Education Minister,,
Q18217778,Lubanah Mshaweh,,Minister of Culture,,
Q98798457,Mohammad Rami Radwan Martini,,Tourism Minister,,
Q98798433,Salam Mohammad al-Saffaf,,Administrative Development Minister,,
Q6751840,Mansour Fadlallah Azzam,,Presidential Affairs Minister,,
Q110176262,Mohammad Fayez al-Barasha,,State Minister,,
Q112056331,Maloul al-Hussein,,State Minister,,
Q112056330,Mohammad Samir Haddad,,State Minister,,
