@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
---,Q5431067,Faisal Mekdad,Q113989577,Deputy Minister of Foreign Affairs of Syria,2006-08-01,2020-11-22,Q5431067-1EF94EA6-B58B-4F87-BF44-E6428C347854
---,Q1334803,Walid Muallem,Q105821094,Deputy Prime Minister of Syria,2012-06-23,2020-11-16,Q1334803-F4A2A98D-1467-462F-A2EF-AC533756852B
---,Q1334803,Walid Muallem,Q102025289,Minister of Foreign Affairs and Expatriates,2006-02-21,2020-11-16,Q1334803-725e79b2-442f-68a8-5490-194ecd48b68d
