who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
364813,,President of Syria,2000-07-17,,Q118725,Hafez al-Assad Abdul Halim Khaddam (Acting),,,0
364813,,President of Syria,2000-07-17,,Q307237,Hafez al-Assad Abdul Halim Khaddam (Acting),,,1
364813,Regional Command of the Arab Socialist Ba'ath Party – Syria Region,Secretary-General of the Central Command of the Arab Socialist Ba'ath Party,2000-06-24,,Q118725,Hafez al-Assad,,,2
364813,Ba'ath Party (Syrian-dominated faction),Secretary-General of the Central Command of the Arab Socialist Ba'ath Party,2000-06-24,,Q118725,Hafez al-Assad,,,3
