who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
55373338,List of Speakers of the Parliament of Syria,Speaker of the People's Assembly,2017-09-28,,Q24572906,Hadiya Khalaf Abbas,,,0
55373338,People's Assembly of Syria,Speaker of the People's Assembly,2017-09-28,,Q24572906,Hadiya Khalaf Abbas,,,1
55373338,Regional Command of the Arab Socialist Ba'ath Party – Syria Region,Member of the Regional Command of the Syrian Regional Branch of the Baath Party,2017-04-22,,,,,,2
55373338,Arab Socialist Ba'ath Party – Syria Region,Member of the Regional Command of the Syrian Regional Branch of the Baath Party,2017-04-22,,,,,,3
