who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
9124133,Q26212282,Vice President of Syria,2006-03-23,,Q8075029,Zuhair Masharqa Abdul Halim Khaddam Farouk al-Sharaa,,,0
9124133,Q26212282,Vice President of Syria,2006-03-23,,Q307237,Zuhair Masharqa Abdul Halim Khaddam Farouk al-Sharaa,,,1
9124133,Q26212282,Vice President of Syria,2006-03-23,,Q713715,Zuhair Masharqa Abdul Halim Khaddam Farouk al-Sharaa,,,2
9124133,Ministry of Culture (Syria),Minister of Culture,1976-12-01,2000-01-19,,Office established,,Maha Qanout,3
