who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
67756645,,Minister of State for People's Assembly Affairs,2021-08-10,,,Himself,,,0
67756645,,,2016-07-03,2020-08-30,,,,Himself,1
