item,itemLabel,startDate,endDate,sourceDate,psid
Q4664575,Abd al-Qadir Qaddura,1999,2002,,Q4664575-A7C42D3B-B91E-45BA-B863-9157452972DC
Q336406,Muhammad Naji al-Otari,2003-03-09,2003-09-18,2022-09-15,Q336406-EB8DEDC9-18B7-4DC0-9D17-38F5C1D40D47
Q3277843,Mahmoud al-Abrash,2003-10-07,2007-03-08,2022-09-15,Q3277843-E8632E9F-437B-4CC8-880C-0BC69CB45D5D
Q3277843,Mahmoud al-Abrash,2007-05-07,2012-05-07,2022-09-15,Q3277843-4E25780B-8BFB-47CD-B141-AE8FD5EEAD32
Q1942655,Mohammad Jihad al-Laham,2012-05-24,2016-05-02,,Q1942655-0247407e-439e-5b7c-394c-d8720651ee35
Q24572906,Hadiya Khalaf Abbas,2016-06-06,2017-07-20,,Q24572906-0ad5b0f2-450e-e459-3d73-6adccb35f358
Q41229317,Hammouda Sabbagh,2017-09-28,2020,,Q41229317-537eb870-3639-4144-987f-7df93c961332
Q41229317,Hammouda Sabbagh,2020,,2022-09-15,Q41229317-C27C55F6-6AF3-4530-A340-0634B5E5DAA6
