@@,item,itemlabel,startdate,enddate
+++,Q336406,Muhammad Naji al-Otari,2003-03-09,2003-09-18
+++,Q3277843,Mahmoud al-Abrash,2003-10-07,2007-03-08
+++,Q3277843,Mahmoud al-Abrash,2007-05-07,2012-05-07
->,Q1942655,Mohammad Jihad al-Laham,2012-05-24,2016-05-02->2016-06-06
->,Q41229317,Hammouda Sabbagh,2017-09-28,NULL->2020
+++,Q41229317,Hammouda Sabbagh,2020,
