item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q100499032,"Sayyid, Maḥmūd Aḥmad",NormalRank,Q1002557,Safita,true,true,true,false,false,false,true
Q107042002,Abdullah Sallum Abdullah,NormalRank,Q277674,Azaz,true,true,true,false,false,true,true
Q108092707,Amr Salem,NormalRank,Q3766,Damascus,true,true,false,,,,
Q109026826,Diala Barakat,NormalRank,Q131301,Homs,true,true,true,false,false,true,true
Q109117280,Mohamed Seif El-Din,NormalRank,Q3766,Damascus,true,true,false,,,,
Q110093859,Iyad Mohammad al-Khatib,NormalRank,Q3766,Damascus,true,true,true,false,false,true,true
Q110158344,Suhail Mohammad Abdullatif,NormalRank,Q200030,Latakia,true,true,false,,,,
Q110158645,Boutros Al-Hallaq,NormalRank,Q172251,Yabrud,true,true,true,false,false,true,true
Q110176262,Mohammad Fayez al-Barasha,NormalRank,Q3766,Damascus,true,true,true,false,false,true,true
Q111748038,Ali Mahmoud Abbas,,,,,,false,,,,
Q111995588,Tawfiq Younes,NormalRank,Q174916,Tartus,true,true,false,,,,
Q112056330,Mohammad Samir Haddad,,,,,,false,,,,
Q112056331,Maloul al-Hussein,,,,,,false,,,,
Q112704278,Hisham Al Shaar,,,,,,false,,,,
Q113000799,Maher Hammami,,,,,,false,,,,
Q113989404,Abdul Karim Mahmoud Ibrahim,,,,,,false,,,,
Q113989405,Salim Harba,,,,,,false,,,,
Q113989511,Ismael Ismael,,,,,,false,,,,
Q113989512,Khalid al-Mahayni,,,,,,false,,,,
Q113989513,Maamoun Hamdan,,,,,,false,,,,
Q113989653,Rida Said,,,,,,false,,,,
Q113989669,Nizar Wahba Yaziji,,,,,,false,,,,
Q118725,Hafez al-Assad,NormalRank,Q2121450,Qardaha,true,true,true,false,false,false,true
Q12180950,Anisa Makhlouf,NormalRank,Q200030,Latakia,true,true,true,false,true,false,false
Q12199735,Bahjat Suleiman,NormalRank,Q200030,Latakia,true,true,true,false,false,true,true
Q12214743,Zuhair Ramadan,NormalRank,Q200030,Latakia,true,true,true,true,true,false,false
Q12216136,Said Mohammad Sammour,NormalRank,Q175923,Jableh,true,true,true,false,false,false,true
Q1334803,Walid Muallem,NormalRank,Q3766,Damascus,true,true,true,false,false,false,true
Q1359497,Hisham Ikhtiyar,NormalRank,Q3766,Damascus,true,true,false,,,,
Q1392054,Fahd Jassem al-Freij,NormalRank,Q173545,Hama,true,true,true,false,false,false,true
Q15126787,Khalid Raad,,,,,,false,,,,
Q1588608,Hasan Turkmani,NormalRank,Q41183,Aleppo,true,true,true,false,false,false,true
