position,positionLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished,predecessor,predecessorLabel,successor,successorLabel,deputy,deputyLabel,list,listLabel
Q648464,President of Syria,Q858,Syria,Q858,Syria,1946-04-17,,Q112072879,president of the mandatory Syrian Republic,,,Q26212282,Vice President of Syria,Q14786546,list of presidents of Syria
Q1861669,ambassador of Syria to China,Q148,People's Republic of China,,,,,,,,,,,,
Q1861672,ambassador of Syria to the United States,Q30,United States of America,,,,,,,,,,,Q29971490,liste des ambassadeurs de Syrie aux États-Unis
Q7169247,Permanent Representative of Syria to the United Nations,,,,,1945-01-01,,,,,,,,,
Q7243302,Prime Minister of Syria,Q858,Syria,Q858,Syria,1961-09-29,,Q115238038,Prime Minister of the United Arab Republic,,,,,Q1507266,list of Prime Ministers of Syria
Q11795049,Speaker of the Parliament of Syria,,,,,1919-12-11,,,,,,,,,
Q20489786,Member of the People's Council of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q26212282,Vice President of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q29971465,ambassador of Syria,Q858,Syria,,,,,,,,,,,,
Q30504464,ambassador of Syria to Russia,Q858,Syria,,,,,,,,,,,Q24846796,Liste der syrischen Botschafter in der Sowjetunion und Russland
Q55593592,Minister of Agriculture of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q62579560,Minister of Food of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q65089203,First Lady of Syria,Q858,Syria,,,1946-04-17,,,,,,,,,
Q72936178,"Minister of Education, Culture and National Guidance of Syria",Q858,Syria,Q858,Syria,,,,,,,,,,
Q94578307,Minister of Culture of Syria,Q858,Syria,Q858,Syria,1976-01-01,,,,,,,,,
Q96924023,ambassador of Syria to the United Kingdom,Q858,Syria,,,,,,,,,,,,
Q100333029,ambassador of Syria to Lebanon,Q858,Syria,,,,,,,,,,,,
Q100336464,ambassador of Syria to Lebanon,Q858,Syria,,,,,,,,,,,,
Q102025289,Minister of Foreign Affairs and Expatriates,Q858,Syria,Q858,Syria,,,,,,,,,,
Q102245065,ambassador of Syria to Austria,,,,,,,,,,,,,,
Q102309536,Permanent Representative of the Syrian Arab Republic to OPCW,Q858,Syria,,,,,,,,,,,,
Q104007004,Minister of Tourism of Syria,Q858,Syria,Q858,Syria,1972-01-01,,,,,,,,,
Q105821094,Deputy Prime Minister of Syria,,,,,,,,,,,,,,
Q107293006,Chief of the General Staff,,,,,,,,,,,,,,
Q109324494,Minister of Health,Q858,Syria,Q858,Syria,,,,,,,,,,
Q111201637,Head of the National Security Bureau,Q858,Syria,Q858,Syria,,,,,,,,,,
Q111781902,Minister of Education of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q111903015,Minister of Interior of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q111903398,Head of Syrian General Intelligence Branch 251,Q858,Syria,,,,,,,,,,,,
Q113003257,Minister of Defence of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q113989488,Minister of Finance,,,Q858,Syria,,,,,,,,,,
Q113989535,ambassador of Syria to North Korea,,,,,,,,,,,,,,
Q113989570,ambassador of Syria to Italy,,,,,,,,,,,,,,
Q113989577,Deputy Minister of Foreign Affairs of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q113989700,Minister of Justice,,,Q858,Syria,,,,,,,,,,
Q113989706,Minister of Economy and Trade (Syria),,,Q858,Syria,,,,,,,,,,
Q113989710,Minister of Internal Trade and Consumer Protection (Syria),,,Q858,Syria,,,,,,,,,,
Q113989711,Minister of Communications and Technology,,,Q858,Syria,,,,,,,,,,
Q113989714,Minister of Industry (Syria),,,Q858,Syria,,,,,,,,,,
Q113989715,Minister of Transport,,,Q858,Syria,,,,,,,,,,
Q113989719,Minister of Water Resources,,,Q858,Syria,,,,,,,,,,
Q113989724,Minister of Oil and Mineral Reserves (Syria),,,Q858,Syria,,,,,,,,,,
Q113989726,Minister of Electricity (Syria),,,Q858,Syria,,,,,,,,,,
Q113989729,Minister of Social Affairs and Labour (Syria),,,Q858,Syria,,,,,,,,,,
Q113989733,Minister of Public Works and Housing (Syria),,,Q858,Syria,,,,,,,,,,
Q113989736,Minister of Local Administration and Environment (Syria),,,Q858,Syria,,,,,,,,,,
Q113989738,Governor of Rif Dimashq Governorate,,,Q232399,Rif Dimashq Governorate,,,,,,,,,,
Q113989741,Minister of Information,,,Q858,Syria,,,,,,,,,,
Q113989754,Minister of Endowments and Religious Affairs,,,Q858,Syria,,,,,,,,,,
Q113989757,Minister of Higher Education (Syria),,,Q858,Syria,,,,,,,,,,
Q113989761,Deputy Minister of Tourism of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q113989763,Minister of Administrative Development (Syria),,,Q858,Syria,,,,,,,,,,
Q113989765,Deputy Minister of Administrative Development of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q113989769,Minister of Presidential Affairs (Syria),,,Q858,Syria,,,,,,,,,,
Q113989777,Minister of State for Investment Affairs and Vital Projects of Syria,Q858,Syria,Q858,Syria,,,,,,,,,,
Q113989778,Minister of State for People's Assembly Affairs,Q858,Syria,Q858,Syria,,,,,,,,,,
Q113989782,Minister of State for Southern Development Affairs,Q858,Syria,Q858,Syria,,,,,,,,,,
