position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q115383378,نائب رئيس مجمع اللغة العربية بدمشق,,Syria,1,Q100499032
Q87103920,President of the Arab Academy of Damascus,,Syria,1,Q100499032
Q114964025,Secretary General of the Syrian Arab Socialist Union Party,,Syria,1,Q7398853
Q2632935,minister of state,,,1,Q7398853
