ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q12186583,Q12186583,1918-10-01,11,,,1919-08-04,11,,,,,,,,,,
,Q12186576,Q12186576,1919-08-04,11,,,1920-03-08,11,,,,,,,,,,
,Q12186603,Q12186603,1920-03-08,11,,,1920-05-03,11,,,,,,,,,,
,Q12186606,Q12186606,1920-05-03,11,,,1920-07-25,11,,,,,,,,,,
,Q12186614,Q12186614,1920-07-25,11,,,1920-09-06,11,,,,,,,,,,
,Q12186595,Q12186595,1920-09-06,11,,,1920-11-30,11,,,,,,,,,,
,Q12186619,Q12186619,1922-06-28,11,,,1924-01-01,9,,,,,,,,,,
,Q12186612,Q12186612,1924-12-20,11,,,1925-12-21,11,,,,,,,,,,
,Q12186607,Q12186607,1926-05-04,11,,,1926-06-12,11,,,,,,,,,,
,Q12186618,Q12186618,1926-06-12,11,,,1926-12-02,11,,,,,,,,,,
,Q12186584,Q12186584,1926-10-12,11,,,1928-02-15,11,,,,,,,,,,
,Q12186600,Q12186600,1928-02-15,11,,,1931-11-19,11,,,,,,,,,,
,Q12186585,Q12186585,1930-01-01,9,,,1931-01-01,9,,,,,,,,,,
,Q12186578,Q12186578,1930-08-14,11,,,1930-01-01,9,,,,,,,,,,
,Q12186609,Q12186609,1931-11-19,11,,,1932-06-11,11,,,,,,,,,,
,Q12186620,Q12186620,1932-06-15,11,,,1934-03-17,11,,,,,,,,,,
,Q12186622,Q12186622,1933-06-03,11,,,1934-05-17,11,,,,,,,,,,
,Q12186608,Q12186608,1934-03-17,11,,,1936-02-23,11,,,,,,,,,,
,Q12186599,Q12186599,1936-02-23,11,,,1936-12-21,11,,,,,,,,,,
,Q12186589,Q12186589,1936-12-21,11,,,1939-02-23,11,,,,,,,,,,
,Q12186601,Q12186601,1939-02-23,11,,,1939-04-02,11,,,,,,,,,,
,Q12186570,Q12186570,1939-04-05,11,,,1939-05-15,11,,,,,,,,,,
,Q12186615,Q12186615,1939-07-08,11,,,1941-04-01,11,,,,,,,,,,
,Q12186571,Q12186571,1941-04-05,11,,,1941-09-12,11,,,,,,,,,,
,Q12186594,Q12186594,1941-09-20,11,,,1942-04-17,11,,,,,,,,,,
,Q12186572,Q12186572,1942-04-18,11,,,1943-12-08,11,,,,,,,,,,
