item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended
Q113989765,Deputy Minister of Administrative Development of Syria,,,Q858,Q858,,
Q113989577,Deputy Minister of Foreign Affairs of Syria,,,Q858,Q858,,
Q113989761,Deputy Minister of Tourism of Syria,,,Q858,Q858,,
Q105821094,Deputy Prime Minister of Syria,,,,,,
Q113989763,Minister of Administrative Development (Syria),Q104054742,Ministry of Administrative Development (Syria),,Q858,,
Q55593592,Minister of Agriculture of Syria,,,Q858,Q858,,
Q113989711,Minister of Communications and Technology,Q4294666,Ministry of Communications and Technology,,Q858,,
Q94578307,Minister of Culture of Syria,Q4118076,Ministry of Culture,Q858,Q858,1976,
Q113003257,Minister of Defence of Syria,,,Q858,Q858,,
Q113989336,Minister of Defense,Q4116488,Ministry of Defense,,Q858,,
Q113989706,Minister of Economy and Trade (Syria),Q4294831,Ministry of Economy and Trade (Syria),,Q858,,
Q111781902,Minister of Education of Syria,Q6866853,Ministry of Education,Q858,Q858,,
Q72936178,"Minister of Education, Culture and National Guidance of Syria",,,Q858,Q858,,
Q113989726,Minister of Electricity (Syria),Q60576104,Ministry of Electricity (Syria),,Q858,,
Q113989754,Minister of Endowments and Religious Affairs,Q56376972,Ministry of Endowments,,Q858,,
Q113989488,Minister of Finance,Q60576137,Ministry of Finance,,Q858,,
Q62579560,Minister of Food of Syria,,,Q858,Q858,,
Q102025289,Minister of Foreign Affairs and Expatriates,Q1829504,Ministry of Foreign Affairs and Expatriates,Q858,Q858,,
Q109324494,Minister of Health,Q56376962,Ministry of Health,Q858,Q858,,
Q113989757,Minister of Higher Education (Syria),Q12250948,Ministry of Higher Education (Syria),,Q858,,
Q113989714,Minister of Industry (Syria),Q60575806,Ministry of Industry (Syria),,Q858,,
Q113989741,Minister of Information,Q6867199,Ministry of Information,,Q858,,
Q111903015,Minister of Interior (Syria),Q17064124,Ministry of Interior,Q858,Q858,,
Q113989710,Minister of Internal Trade and Consumer Protection (Syria),Q102409886,Ministry of Internal Trade and Consumer Protection (Syria),,Q858,,
Q113989700,Minister of Justice,Q4294874,Ministry of Justice,,Q858,,
Q113989736,Minister of Local Administration and Environment (Syria),Q79403533,Ministry of Local Administration and Environment (Syria),,Q858,,
Q113989724,Minister of Oil and Mineral Reserves (Syria),Q60572899,Ministry of Oil and Mineral Reserves (Syria),,Q858,,
Q113989769,Minister of Presidential Affairs (Syria),Q97276609,Ministry of Presidential Affairs (Syria),,Q858,,
Q113989733,Minister of Public Works and Housing (Syria),Q65232496,Ministry of Public Works and Housing (Syria),,Q858,,
Q113989729,Minister of Social Affairs and Labour (Syria),Q60576089,Ministry of Social Affairs and Labour (Syria),,Q858,,
Q113989777,Minister of State for Investment Affairs and Vital Projects of Syria,,,Q858,Q858,,
Q113989778,Minister of State for People's Assembly Affairs,,,Q858,Q858,,
Q113989782,Minister of State for Southern Development Affairs,,,Q858,Q858,,
Q104007004,Minister of Tourism of Syria,,,Q858,Q858,1972,
Q113989715,Minister of Transport,Q6867611,Ministry of Transport,,Q858,,
Q113989719,Minister of Water Resources,Q60576155,Ministry of Water Resources,,Q858,,
Q7243302,Prime Minister of Syria,,,Q858,Q858,1946,
