item,itemLabel,startDate,endDate,sourceDate,psid
Q2836110,Ali Aslan,1998-07-08,2002-01-23,,Q2836110-61f128e3-4e1b-f288-fc94-d3cfd9d979a2
Q1588608,Hasan Turkmani,2002-01-23,2004-05-12,2022-09-15,Q1588608-02794165-A515-467C-A999-3810F93D2002
Q369251,Ali Habib Mahmud,2004-05-12,2009-06-03,2022-09-15,Q369251-5777B958-D157-4D5C-9FF7-6FD67C53D6C6
Q456977,Dawoud Rajiha,2009-06-03,2011-08-08,2022-09-15,Q456977-A8C7716C-AAD1-4DB8-9AE2-DAEAA3BA68BC
Q1392054,Fahd Jassem al-Freij,2011-08-08,2012-07-18,2022-09-15,Q1392054-FEF500F9-78E3-441B-89B2-7B1CE8476EB1
Q4724546,Ali Abdullah Ayyoub,2012-07-18,2018-01-01,,Q4724546-63F475C4-CFBF-443F-9870-295E0C1BF4C7
Q113989405,Salim Harba,2019-04-01,2022-04-30,2022-09-15,Q113989405-E406504B-5469-4F28-BE9A-9F97DDFEEAD6
Q113989404,Abdul Karim Mahmoud Ibrahim,2022-04-30,,2022-09-15,Q113989404-48388BD2-9D90-4670-803D-E62ADC1479CA
