position,person,personID,start,end
Member of the People's Assembly,Safwan al-Qudsi,Q7398853,1977,2022
Member of the People's Assembly,Sabah Fakhri,Q984486,1998,2002
Member of the People's Assembly,Zuhair Ramadan,Q12214743,2016,2021-11-17
