wanted,position,positionid,from,start,end
Q112056330,Minister of State for Southern Development Affairs,Q113989782,Q109026826,2021-08-10,
Q60564584,Minister of Information,Q113989741,Q110158645,2021-08-10,
Q98798406,Minister of Internal Trade and Consumer Protection,Q113989710,Q108092707,2021-08-10,
Q98798445,Minister of Social Affairs and Labour,Q113989729,Q109117280,2021-08-10,
Q112704278,Minister of Justice,Q113989700,Q98798381,2020-08-30,
Q4724843,Minister of Transport,Q113989715,Q98798467,2020-08-30,
Q60455401,Minister of Water Resources,Q113989719,Q98798395,2020-08-30,
Q60455401,Minister of Public Works and Housing,Q113989733,Q110158344,2018-11-26,
Q16751286,Minister of Administrative Development,Q113989763,Q98798433,2017-03-29,
Q918978,Minister of Local Administration and Environment,Q113989736,Q60455444,2016-06-22,
Q6040552,Minister of Culture,Q94578307,Q3430000,2010-10-03,2012-06-23
Q1334803,Deputy Minister of Foreign Affairs,Q113989577,Q5431067,2006-08-01,2020-11-22
Q100673260,Minister of Culture,Q94578307,Q100499032,2003-09-18,2006-02-11
Q113989588,Minister of Agriculture,Q55593592,Q353713,2003-09-13,2011-04-14
Q60564274,Permanent Representative to the United Nations,Q7169247,Q5431067,2003,2006
Q317430,Head of the National Security Bureau,Q111201637,Q4120447,2000-06-21,2005-06-06
Q7404584,Deputy Prime Minister,Q105821094,Q15126787,2000-03-14,2001-12-13
