id,name,relationship,relative,relativename
Q118725,Hafez al-Assad,child,Q44329,Bashar al-Assad
Q118725,Hafez al-Assad,child,Q447173,Maher al-Assad
Q118725,Hafez al-Assad,child,Q459816,Bushra al Assad
Q118725,Hafez al-Assad,child,Q6852608,Majd al-Asad
Q118725,Hafez al-Assad,child,Q706694,Bassel al-Assad
Q118725,Hafez al-Assad,father,Q17308760,Ali Sulayman al-Assad
Q118725,Hafez al-Assad,sibling,Q3302790,Jamil al-Assad
Q118725,Hafez al-Assad,sibling,Q519639,Rifaat al-Assad
Q118725,Hafez al-Assad,spouse,Q12180950,Anisa Makhlouf
Q12180950,Anisa Makhlouf,child,Q44329,Bashar al-Assad
Q12180950,Anisa Makhlouf,child,Q447173,Maher al-Assad
Q12180950,Anisa Makhlouf,child,Q459816,Bushra al Assad
Q12180950,Anisa Makhlouf,child,Q6852608,Majd al-Asad
Q12180950,Anisa Makhlouf,child,Q706694,Bassel al-Assad
Q12180950,Anisa Makhlouf,sibling,Q112117043,Mohammed Makhlouf
Q12180950,Anisa Makhlouf,spouse,Q118725,Hafez al-Assad
Q12199735,Bahjat Suleiman,child,Q111903309,Majd Bahjat Suleiman
Q12199735,Bahjat Suleiman,child,Q111903374,Haidara Suleiman
Q12199735,Bahjat Suleiman,relative,Q114727548,Zina Khair
Q231637,Asma al-Assad,father,Q3178546,Fawaz Akhras
Q231637,Asma al-Assad,spouse,Q44329,Bashar al-Assad
Q403707,Mustafa Tlass,child,Q1341977,Manaf Tlass
Q403707,Mustafa Tlass,child,Q1963666,Nahed Ojjeh
Q403707,Mustafa Tlass,child,Q5451221,Firas Tlass
Q44329,Bashar al-Assad,father,Q118725,Hafez al-Assad
Q44329,Bashar al-Assad,mother,Q12180950,Anisa Makhlouf
Q44329,Bashar al-Assad,relative,Q12247779,Na'isa Shalish
Q44329,Bashar al-Assad,relative,Q16125555,Anwar Hilal al-Assad
Q44329,Bashar al-Assad,relative,Q17308760,Ali Sulayman al-Assad
Q44329,Bashar al-Assad,relative,Q3302790,Jamil al-Assad
Q44329,Bashar al-Assad,relative,Q519639,Rifaat al-Assad
Q44329,Bashar al-Assad,sibling,Q447173,Maher al-Assad
Q44329,Bashar al-Assad,sibling,Q459816,Bushra al Assad
Q44329,Bashar al-Assad,sibling,Q6852608,Majd al-Asad
Q44329,Bashar al-Assad,sibling,Q706694,Bassel al-Assad
Q44329,Bashar al-Assad,spouse,Q231637,Asma al-Assad
Q4866775,Bashar Jaafari,child,Q112066575,Sheherazade Jaafari
Q686595,Najah al-Attar,sibling,Q12227257,Issam al-Attar
