wanted,position,positionid,from,start,end
Q3335291,Speaker of the Assembly,Q11795049,Q24572906,2016-06-06,2017-07-20
Q98798493,Minister of Agriculture,Q55593592,Q98908359,2013-03-01,2020-08-29
Q18217778,Minister of Culture,Q94578307,Q3430000,2010-10-03,2012-06-23
Q4866775,Deputy Minister of Foreign Affairs,Q113989577,Q5431067,2006-08-01,2020-11-22
Q6040552,Minister of Culture,Q94578307,Q100499032,2003-09-18,2006-02-11
Q1359497,Head of the National Security Bureau,Q111201637,Q4120447,2000-06-21,2005-06-06
