item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q107042002,Abdullah Sallum Abdullah,Q113989778,Minister of State for People's Assembly Affairs,2021-08-10,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q107042002-3D47E3D0-6D1D-4C78-A801-0D105DA76CAA
Q108092707,Amr Salem,Q113989710,Internal Trade and Consumer Protection Minister,2021-08-10,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q108092707-DC5EF739-2BE6-4B51-BED0-DC1F6679B41E
Q109026826,Diala Barakat,Q113989782,Minister of State for Southern Development Affairs,2021-08-10,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q109026826-FC9B2D9E-469E-4925-8228-41567E72F8D2
Q109117280,Mohamed Seif El-Din,Q113989729,Minister of Social Affairs and Labor,2021-08-10,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q109117280-0704F661-31A3-4655-81CC-FC50109F4D40
Q110093859,Iyad Mohammad al-Khatib,Q113989711,Communications and Technology Minister,2018-11-26,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q110093859-0E08D55A-54EC-4E85-89A2-10E6F3F533F3
Q110158344,Suhail Mohammad Abdullatif,Q113989733,Public Works and Housing Minister,2018-11-26,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q110158344-0DB3B87C-A094-4EF9-A5B5-5FC20F665149
Q110158645,Boutros Al-Hallaq,Q113989741,Information Minister,2021-08-10,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q110158645-45CB1996-47AF-46AE-B40F-D70A8A3653EA
Q110176262,Mohammad Fayez al-Barasha,Q113989777,Minister of State for Investment Affairs and Vital Projects,2020-08-30,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q110176262-1B8B3CE0-6ABF-4AFC-AA3B-9EA2CA3FADF2
Q111748038,Ali Mahmoud Abbas,Q113003257,Minister of Defense,2022-04-28,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q111748038-7C352D22-6DEF-4F4E-9640-D5DCB87D0B60
Q18217778,Lubanah Mshaweh,Q94578307,Minister of Culture,2020-08-30,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q18217778-8AD20491-201C-4392-BFB0-0BF919280C2A
Q4724546,Ali Abdullah Ayyoub,Q105821094,Deputy Prime Minister of Syria,2020-08-30,,,Q4724546-39EBAFC0-8E45-446D-A341-CB5A73F1CC70
Q5431067,Faisal Mekdad,Q102025289,Foreign Affairs and Expatriates Minister,2020-11-22,,https://en.wikipedia.org/wiki/Second_Hussein_Arnous_government,Q5431067-e6f97436-4fa5-567d-76ce-e5535270cfb2
