@@,item,itemlabel,startdate,enddate
->,Q1884964,Mahmoud Zuabi->Mahmoud Al-Zoubi,1987-11-01,2000-03-13
+++,Q336406,Muhammad Naji al-Otari,2003-09-10,2011-04-14
+++,Q353713,Adel Safar,2011-04-14,2012-06-23
+++,Q918978,Omar Ibrahim Ghalawanji,2012-08-06,2012-08-09
+++,Q713915,Wael Nader al-Halqi,2012-08-09,2016-07-03
->,Q6001983,Imad Khamis,2016-07-13->2016-07-03,2020-06-11
